user_id,group,satisfaction_score
user_000000,control,68.22
user_000001,control,71.95
user_000002,control,69.03
user_000003,control,76.1
user_000004,control,86.97
user_000005,control,67.29
user_000006,control,85.01
user_000007,control,67.18
user_000008,control,66.52
user_000009,control,83.19
user_000010,control,84.22
user_000011,control,83.51
user_000012,control,61.84
user_000013,control,70.34
user_000014,control,83.23
user_000015,control,75.42
user_000016,control,64.26
user_000017,control,79.58
user_000018,control,67.85
user_000019,control,92.95
user_000020,control,90.45
user_000021,control,81.04
user_000022,control,88.61
user_000023,control,75.65
user_000024,control,82.65
user_000025,control,89.78
user_000026,control,77.45
user_000027,control,72.45
user_000028,control,57.95
user_000029,control,74.17
user_000030,control,83.23
user_000031,control,84.46
user_000032,control,80.04
user_000033,control,69.59
user_000034,control,55.23
user_000035,control,70.05
user_000036,control,71.96
user_000037,control,71.87
user_000038,control,81.19
user_000039,control,94.86
user_000040,control,76.24
user_000041,control,72.83
user_000042,control,72.41
user_000043,control,76.24
user_000044,control,66.72
user_000045,control,76.2
user_000046,control,79.51
user_000047,control,77.1
user_000048,control,79.58
user_000049,control,79.34
user_000050,control,57.28
user_000051,control,81.37
user_000052,control,68.29
user_000053,control,64.04
user_000054,control,63.96
user_000055,control,79.34
user_000056,control,72.77
user_000057,control,58.18
user_000058,control,79.78
user_000059,control,60.6
user_000060,control,76.4
user_000061,control,77.38
user_000062,control,83.86
user_000063,control,92.82
user_000064,control,61.35
user_000065,control,74.48
user_000066,control,72.24
user_000067,control,79.34
user_000068,control,77.16
user_000069,control,71.47
user_000070,control,70.59
user_000071,control,63.84
user_000072,control,84.88
user_000073,control,79.59
user_000074,control,84.18
user_000075,control,71.9
user_000076,control,68.43
user_000077,control,64.22
user_000078,control,78.59
user_000079,control,64.6
user_000080,control,93.49
user_000081,control,61.92
user_000082,control,77.74
user_000083,control,90.67
user_000084,control,80.99
user_000085,control,76.76
user_000086,control,65.32
user_000087,control,61.18
user_000088,control,82.7
user_000089,control,90.06
user_000090,control,70.61
user_000091,control,63.61
user_000092,control,50.42
user_000093,control,65.19
user_000094,control,73.86
user_000095,control,90.99
user_000096,control,81.73
user_000097,control,78.05
user_000098,control,71.0
user_000099,control,69.17
user_000100,control,89.06
user_000101,control,77.01
user_000102,control,53.97
user_000103,control,68.26
user_000104,control,66.42
user_000105,control,69.54
user_000106,control,80.63
user_000107,control,73.93
user_000108,control,74.23
user_000109,control,88.13
user_000110,control,68.04
user_000111,control,93.64
user_000112,control,68.29
user_000113,control,75.89
user_000114,control,72.19
user_000115,control,76.23
user_000116,control,79.45
user_000117,control,79.34
user_000118,control,67.47
user_000119,control,63.77
user_000120,control,100.03
user_000121,control,70.16
user_000122,control,81.99
user_000123,control,58.92
user_000124,control,72.2
user_000125,control,73.73
user_000126,control,79.73
user_000127,control,47.78
user_000128,control,76.66
user_000129,control,63.5
user_000130,control,78.24
user_000131,control,64.64
user_000132,control,66.45
user_000133,control,72.26
user_000134,control,64.48
user_000135,control,70.24
user_000136,control,63.07
user_000137,control,56.67
user_000138,control,85.18
user_000139,control,62.04
user_000140,control,73.21
user_000141,control,82.53
user_000142,control,68.85
user_000143,control,66.75
user_000144,control,77.26
user_000145,control,86.18
user_000146,control,63.31
user_000147,control,73.5
user_000148,control,57.68
user_000149,control,71.07
user_000150,control,75.34
user_000151,control,66.45
user_000152,control,70.43
user_000153,control,60.92
user_000154,control,75.77
user_000155,control,85.56
user_000156,control,64.03
user_000157,control,68.77
user_000158,control,80.03
user_000159,control,87.12
user_000160,control,60.07
user_000161,control,73.31
user_000162,control,77.83
user_000163,control,73.98
user_000164,control,50.23
user_000165,control,80.01
user_000166,control,90.19
