user_id,group,revenue
user_000000,control,52.57
user_000001,control,43.75
user_000002,control,55.53
user_000003,control,45.28
user_000004,control,56.0
user_000005,control,47.81
user_000006,control,36.23
user_000007,control,42.14
user_000008,control,46.56
user_000009,control,60.95
user_000010,control,57.21
user_000011,control,62.99
user_000012,control,63.23
user_000013,control,45.72
user_000014,control,48.49
user_000015,control,46.71
user_000016,control,44.63
user_000017,control,35.27
user_000018,control,49.88
user_000019,control,39.72
user_000020,control,49.73
user_000021,control,66.93
user_000022,control,45.93
user_000023,control,51.56
user_000024,control,57.25
user_000025,control,52.24
user_000026,control,52.34
user_000027,control,47.1
user_000028,control,48.14
user_000029,control,42.32
user_000030,control,56.77
user_000031,control,36.07
user_000032,control,57.77
user_000033,control,38.77
user_000034,control,57.7
user_000035,control,47.17
user_000036,control,40.15
user_000037,control,54.63
user_000038,control,57.43
user_000039,control,46.5
user_000040,control,55.76
user_000041,control,31.72
user_000042,control,39.44
user_000043,control,60.34
user_000044,control,48.21
user_000045,control,35.1
user_000046,control,44.41
user_000047,control,42.61
user_000048,control,48.67
user_000049,control,47.03
user_000050,control,51.43
user_000051,control,49.44
user_000052,control,60.88
user_000053,control,53.4
user_000054,control,53.66
user_000055,control,59.32
user_000056,control,46.89
user_000057,control,39.9
user_000058,control,59.66
user_000059,control,51.09
user_000060,control,51.11
user_000061,control,44.93
user_000062,control,45.07
user_000063,control,56.77
user_000064,control,57.88
user_000065,control,56.27
user_000066,control,56.34
user_000067,control,54.55
user_000068,control,51.05
user_000069,control,48.6
user_000070,control,59.68
user_000071,control,47.01
user_000072,control,52.96
user_000073,control,43.57
user_000074,control,44.73
user_000075,control,48.11
user_000076,control,43.57
user_000077,control,56.38
user_000078,control,39.22
user_000079,control,50.79
user_000080,control,51.06
user_000081,control,35.51
user_000082,control,46.47
user_000083,control,52.05
user_000084,control,53.43
user_000085,control,48.37
user_000086,control,55.42
user_000087,control,49.13
user_000088,control,50.11
user_000089,control,52.01
user_000090,control,57.42
user_000091,control,44.59
user_000092,control,46.11
user_000093,control,44.65
