user_id,group,watch_duration
user_000000,control,18.13
user_000001,control,10.91
user_000002,control,20.45
user_000003,control,41.2
user_000004,control,10.1
user_000005,control,10.1
user_000006,control,43.09
user_000007,control,22.51
user_000008,control,8.37
user_000009,control,18.8
user_000010,control,8.41
user_000011,control,8.39
user_000012,control,14.78
user_000013,control,2.64
user_000014,control,3.07
user_000015,control,7.77
user_000016,control,5.42
user_000017,control,15.66
user_000018,control,5.89
user_000019,control,3.94
user_000020,control,39.35
user_000021,control,10.17
user_000022,control,12.86
user_000023,control,3.9
user_000024,control,7.88
user_000025,control,13.31
user_000026,control,4.85
user_000027,control,16.45
user_000028,control,7.53
user_000029,control,9.65
user_000030,control,7.53
user_000031,control,53.61
user_000032,control,12.05
user_000033,control,5.23
user_000034,control,23.52
user_000035,control,4.59
user_000036,control,14.4
user_000037,control,2.54
user_000038,control,4.21
user_000039,control,14.26
user_000040,control,21.99
user_000041,control,13.97
user_000042,control,11.11
user_000043,control,9.57
user_000044,control,3.73
user_000045,control,6.85
user_000046,control,8.43
user_000047,control,28.38
user_000048,control,16.04
user_000049,control,2.97
user_000050,control,15.79
user_000051,control,8.95
user_000052,control,7.09
user_000053,control,19.87
user_000054,control,27.79
user_000055,control,25.66
user_000056,control,6.23
user_000057,control,9.51
user_000058,control,15.88
user_000059,control,26.59
user_000060,control,8.3
user_000061,control,10.5
user_000062,control,5.03
user_000063,control,4.68
user_000064,control,23.34
user_000065,control,36.05
user_000066,control,11.5
user_000067,control,27.19
user_000068,control,16.27
user_000069,control,7.27
user_000070,control,16.27
user_000071,control,41.7
user_000072,control,11.84
user_000073,control,42.59
user_000074,control,1.5
user_000075,control,23.51
user_000076,control,13.06
user_000077,control,9.59
user_000078,control,13.11
user_000079,control,2.48
user_000080,control,10.22
user_000081,control,16.21
user_000082,control,39.74
user_000083,control,8.05
user_000084,control,6.38
user_000085,control,8.15
user_000086,control,25.34
user_000087,control,15.85
user_000088,control,7.97
user_000089,control,18.37
user_000090,control,13.17
user_000091,control,26.44
user_000092,control,6.95
user_000093,control,9.37
user_000094,control,8.9
user_000095,control,3.78
user_000096,control,15.44
user_000097,control,15.01
user_000098,control,12.23
user_000099,control,10.1
user_000100,control,3.93
user_000101,control,8.7
user_000102,control,9.26
user_000103,control,6.41
user_000104,control,10.71
user_000105,control,16.83
user_000106,control,55.09
user_000107,control,14.01
user_000108,control,14.97
user_000109,control,11.48
user_000110,control,2.62
user_000111,control,11.93
user_000112,control,12.78
user_000113,control,87.41
user_000114,control,10.44
user_000115,control,15.51
user_000116,control,11.85
user_000117,control,4.78
user_000118,control,30.39
user_000119,control,22.23
user_000120,control,22.94
user_000121,control,5.89
user_000122,control,37.42
user_000123,control,3.97
user_000124,control,19.48
user_000125,control,70.27
user_000126,control,5.52
user_000127,control,7.74
user_000128,control,13.19
user_000129,control,8.14
user_000130,control,3.52
user_000131,control,12.87
user_000132,control,5.21
user_000133,control,17.79
user_000134,control,5.84
user_000135,control,42.1
user_000136,control,6.51
user_000137,control,9.42
user_000138,control,23.36
user_000139,control,4.55
user_000140,control,14.61
user_000141,control,34.66
user_000142,control,3.37
user_000143,control,14.12
user_000144,control,15.0
user_000145,control,22.77
user_000146,control,4.53
user_000147,control,4.24
user_000148,control,18.5
user_000149,control,15.45
user_000150,control,14.89
user_000151,control,16.07
user_000152,control,7.07
user_000153,control,14.67
user_000154,control,15.4
user_000155,control,6.88
user_000156,control,54.2
user_000157,control,17.8
user_000158,control,4.7
user_000159,control,20.6
user_000160,control,5.59
user_000161,control,22.87
user_000162,control,30.78
user_000163,control,6.32
user_000164,control,26.33
user_000165,control,16.95
user_000166,control,23.52
user_000167,control,55.56
user_000168,control,10.01
user_000169,control,6.67
user_000170,control,5.98
user_000171,control,6.34
user_000172,control,11.45
user_000173,control,16.01
user_000174,control,15.2
user_000175,control,23.61
user_000176,control,12.31
user_000177,control,38.97
user_000178,control,9.86
user_000179,control,107.35
user_000180,control,20.1
user_000181,control,6.14
user_000182,control,5.17
user_000183,control,17.92
user_000184,control,10.19
user_000185,control,21.57
user_000186,control,17.79
user_000187,control,11.49
user_000188,control,6.19
user_000189,control,3.63
user_000190,control,8.52
user_000191,control,24.17
user_000192,control,14.46
user_000193,control,4.5
user_000194,control,13.99
user_000195,control,16.58
user_000196,control,6.01
user_000197,control,13.78
user_000198,control,12.76
user_000199,control,4.88
user_000200,control,16.22
user_000201,control,19.08
user_000202,control,28.98
user_000203,control,28.31
user_000204,control,4.05
user_000205,control,5.75
user_000206,control,18.39
user_000207,control,18.38
user_000208,control,18.39
user_000209,control,265.65
user_000210,control,19.23
user_000211,control,30.22
user_000212,control,26.13
user_000213,control,20.51
user_000214,control,9.47
user_000215,control,22.36
user_000216,control,6.56
user_000217,control,10.08
user_000218,control,8.26
user_000219,control,13.01
user_000220,control,77.61
user_000221,control,2.74
user_000222,control,21.09
user_000223,control,3.35
user_000224,control,8.35
user_000225,control,29.11
user_000226,control,12.83
user_000227,control,5.14
user_000228,control,6.87
user_000229,control,20.98
user_000230,control,6.79
user_000231,control,14.49
user_000232,control,12.63
user_000233,control,7.23
user_000234,control,67.7
user_000235,control,20.23
